global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
16000,319,-2.4588,50,0.9493,0.008309,,66.459,7.3971,0.62,229.03
16050,320,-1.25958,50,0.9492,0.013147,,69.627,4.315,0.44,120.45
16100,321,-2.81067,50,0.949,0.012658,,68.835,7.519,0.48,271.55
16150,322,-2.30648,50,0.9489,0.01234,,70.135,6.4688,0.44,222.95
16200,323,-4.83624,50,0.9487,0.013575,,70.536,12.0042,0.68,460.01
16250,324,-1.09047,50,0.9485,0.013059,,74.811,4.2613,0.4,93.75
16300,325,-0.7116,50,0.9484,0.012455,,72.092,3.6728,0.34,47.11
16350,326,-2.53129,50,0.9482,0.013169,,74.118,6.6984,0.54,251.34
16400,327,-0.29789,50,0.9481,0.012267,,73.442,2.2178,0.16,22.59
16450,328,-1.40424,50,0.9479,0.01225,,75.09,4.9955,0.5,121.6
16500,329,-1.5862,50,0.9477,0.011308,,66.448,4.9913,0.52,151.12
16550,330,-1.8155,50,0.9476,0.011754,,63.405,5.6643,0.48,164.81
16600,331,-1.56759,50,0.9474,0.011811,,66.402,4.9714,0.44,143.66
16650,332,-2.44534,50,0.9473,0.012827,,73.634,7.5522,0.62,209.48
16700,333,-0.66576,50,0.9471,0.012047,,70.639,2.5582,0.22,73.23
16750,334,-1.02772,50,0.947,0.01215,,72.585,4.1361,0.3,86.26
16800,335,-1.15416,50,0.9468,0.011882,,67.662,4.7045,0.46,95.72
16850,336,-2.07841,50,0.9466,0.011353,,73.186,6.5256,0.6,180.31
16900,337,-4.52044,50,0.9465,0.011643,,69.076,10.2738,0.74,458.28
16950,338,-1.6825,50,0.9463,0.012431,,69.6,4.9805,0.38,168.81
17000,339,-2.1238,50,0.9462,0.01024,,75.912,5.7629,0.42,214.6
17050,340,-0.19181,50,0.946,0.016724,,66.383,1.6187,0.22,24.09
17100,341,-0.71731,50,0.9458,0.015394,,74.178,2.9082,0.26,68.05
17150,342,-1.65075,50,0.9457,0.016144,,65.008,4.9871,0.54,164.06
17200,343,-1.97051,50,0.9455,0.015676,,67.057,5.6652,0.44,184.9
17250,344,-2.13109,50,0.9454,0.015628,,69.212,6.6872,0.54,192.67
17300,345,-0.74144,50,0.9452,0.016029,,65.258,3.5725,0.38,57.67
17350,346,-1.27369,50,0.9451,0.014714,,68.786,4.1766,0.38,121.86
17400,347,-3.26509,50,0.9449,0.014637,,70.04,9.4497,0.5,293.9
17450,348,-0.47974,50,0.9447,0.014754,,72.481,2.4875,0.2,35.47
17500,349,-0.41271,50,0.9446,0.014097,,73.903,2.4439,0.18,39.57
17550,350,-1.39205,50,0.9444,0.015597,,68.82,4.7956,0.34,127.0
17600,351,-1.42962,50,0.9443,0.015338,,59.3,5.0129,0.48,124.81
17650,352,-2.33413,50,0.9441,0.015526,,67.364,7.034,0.54,216.28
17700,353,-1.17694,50,0.9439,0.015971,,68.456,4.0802,0.34,119.59
